,eastAll,eastOne,eastOneyear,eastSix,eastThree,eastThreeyear
3541,0.79,0.58,0.0,1.24,0.53,0.0
3542,2.2,0.89,0.0,2.1,1.19,0.0
3543,-16.82,4.22,0.0,-15.62,-12.23,0.0
3544,2.88,0.8,0.0,2.96,1.76,0.0
3545,3.09,0.81,0.0,3.1,1.82,0.0
3546,10.35,6.48,0.0,10.21,7.53,0.0
3547,1.51,1.01,0.0,2.07,1.31,0.0
3548,1.76,1.02,0.0,2.24,1.42,0.0
3549,-0.08,0.56,0.0,1.43,0.69,0.0
3550,0.2,0.6,0.0,1.63,0.78,0.0
3551,1.76,0.6,0.0,0.0,1.14,0.0
3552,1.94,0.64,0.0,0.0,1.24,0.0
3553,0.86,1.29,0.0,1.75,1.11,0.0
3554,2.76,0.86,0.0,2.89,2.0,0.0
3555,3.07,0.91,0.0,3.14,2.13,0.0
3556,1.31,1.29,0.0,0.0,1.72,0.0
3557,0.0,0.0,0.0,0.0,0.0,0.0
3558,2.45,4.74,0.0,2.25,2.19,0.0
3559,2.37,0.91,0.0,1.98,0.98,0.0
3560,0.0,0.0,0.0,0.0,0.0,0.0
3561,0.0,0.0,0.0,0.0,0.0,0.0
3562,3.0,4.36,0.0,2.28,0.78,0.0
3563,21.77,8.44,0.0,23.62,12.46,0.0
3564,1.17,0.73,0.0,1.49,0.81,0.0
3565,2.21,0.89,0.0,1.85,0.91,0.0
3566,0.0,0.0,0.0,0.0,0.0,0.0
3567,0.0,0.0,0.0,0.0,0.0,0.0
3568,0.0,0.0,0.0,0.0,0.0,0.0
3569,0.91,1.68,0.0,0.0,0.0,0.0
3570,0.0,0.0,0.0,0.0,0.0,0.0
3571,0.0,0.0,0.0,0.0,0.0,0.0
3572,-1.05,-0.91,0.0,0.0,-1.05,0.0
3573,-0.21,0.07,0.0,0.0,0.14,0.0
3574,-0.87,-0.87,0.0,0.0,-0.94,0.0
3575,2.32,1.34,0.0,0.0,1.43,0.0
3576,2.36,0.92,0.0,2.16,1.12,0.0
3577,2.64,0.96,0.0,2.33,1.22,0.0
3578,2.12,1.06,0.0,3.16,1.71,0.0
3579,2.18,1.06,0.0,3.21,1.73,0.0
3580,6.42,4.1,0.0,6.1,3.1,0.0
3581,-5.6,1.71,0.0,-2.36,-0.34,0.0
3582,1.57,0.27,0.0,1.09,0.4,0.0
3583,-4.67,1.8,0.0,-1.73,-0.23,0.0
3584,1.53,1.06,0.0,2.19,1.64,0.0
3585,1.59,1.05,0.0,2.23,1.65,0.0
3586,2.69,2.02,0.0,2.42,1.59,0.0
3587,8.66,1.95,0.0,2.77,1.86,0.0
3588,1.96,0.6,0.0,1.3,0.76,0.0
3589,2.1,0.62,0.0,1.4,0.81,0.0
3590,0.52,1.33,0.0,2.13,1.17,0.0
3591,0.97,1.4,0.0,2.45,1.33,0.0
3592,-2.3,6.54,0.0,-2.3,-5.24,0.0
3593,0.0,0.0,0.0,0.0,0.0,0.0
3594,0.0,0.0,0.0,0.0,0.0,0.0
3595,0.0,0.0,0.0,0.0,0.0,0.0
3596,1.67,0.86,0.0,2.04,1.05,0.0
3597,20.71,20.1,0.0,0.0,0.0,0.0
3598,0.88,0.32,0.0,0.0,0.0,0.0
3599,-1.51,2.68,0.0,0.0,-10.05,0.0
3600,-4.99,1.85,0.0,-1.75,-0.13,0.0
3601,1.28,0.84,0.0,1.27,0.65,0.0
3602,2.18,0.69,0.0,2.28,1.53,0.0
3603,2.68,0.77,0.0,2.65,1.72,0.0
3604,2.35,2.32,0.0,3.76,2.03,0.0
3605,2.62,2.32,0.0,4.0,2.06,0.0
3606,-3.86,1.55,0.0,-2.88,-4.55,0.0
3607,-3.53,1.6,0.0,-2.62,-4.42,0.0
3608,0.05,0.56,0.0,-0.06,-0.71,0.0
3609,1.37,1.31,0.0,1.47,0.81,0.0
3610,3.33,1.31,0.0,3.75,1.97,0.0
3611,3.48,1.33,0.0,3.9,2.02,0.0
3612,2.62,4.37,0.0,5.47,4.28,0.0
3613,2.87,4.39,0.0,5.62,4.37,0.0
3614,0.22,1.19,0.0,-0.13,-0.83,0.0
3615,1.05,1.0,0.0,1.58,0.82,0.0
3616,-4.2,-1.7,0.0,-2.68,-3.82,0.0
3617,-3.92,-1.66,0.0,-2.47,-3.73,0.0
3618,-0.12,1.25,0.0,0.81,0.72,0.0
3619,-0.12,1.25,0.0,0.81,0.72,0.0
3620,-0.55,1.17,0.0,1.39,0.76,0.0
3621,-7.15,1.0,0.0,-4.36,-3.55,0.0
3622,-6.9,1.04,0.0,-4.16,-3.45,0.0
3623,-1.05,0.97,0.0,-1.07,-1.83,0.0
3624,2.0,1.19,0.0,2.2,1.59,0.0
3625,-3.53,3.74,0.0,1.53,1.82,0.0
3626,1.9,0.67,0.0,1.85,1.03,0.0
3627,2.06,0.68,0.0,1.95,1.07,0.0
3628,2.24,0.69,0.0,2.03,1.05,0.0
3629,2.46,0.77,0.0,2.19,1.16,0.0
3630,2.18,2.27,0.0,0.0,0.0,0.0
3631,0.91,1.16,0.0,1.31,0.64,0.0
3632,1.18,1.21,0.0,1.52,0.75,0.0
3633,-14.93,-8.95,0.0,-14.39,-10.41,0.0
3634,-14.79,-9.0,0.0,-14.26,-10.33,0.0
3635,-16.26,-9.87,0.0,-16.19,-11.37,0.0
3636,3.3,2.37,0.0,3.43,1.45,0.0
3637,3.54,2.39,0.0,3.65,1.54,0.0
3638,-0.32,4.46,0.0,0.0,0.03,0.0
3639,0.0,0.0,0.0,0.0,0.0,0.0
3640,0.0,0.0,0.0,0.0,0.0,0.0
3641,1.61,0.84,0.0,0.0,1.11,0.0
3642,2.13,0.59,0.0,1.98,1.14,0.0
3643,1.0,0.69,0.0,1.68,0.91,0.0
3644,-5.81,4.61,0.0,0.0,-4.73,0.0
3645,6.17,5.45,0.0,0.0,0.0,0.0
3646,0.11,0.2,0.0,0.34,-0.02,0.0
3647,0.38,0.24,0.0,0.54,0.1,0.0
3648,1.7,1.28,0.0,1.59,0.9,0.0
3649,1.23,0.62,0.0,0.0,1.05,0.0
3650,1.32,0.64,0.0,0.0,1.1,0.0
3651,2.9,1.78,0.0,3.52,1.18,0.0
3652,3.0,1.78,0.0,3.62,1.18,0.0
3653,0.34,1.14,0.0,0.69,0.35,0.0
3654,0.6,1.18,0.0,0.9,0.46,0.0
3655,7.39,2.34,0.0,7.39,4.83,0.0
3656,3.4,4.23,0.0,3.4,2.38,0.0
3657,3.8,4.32,0.0,3.8,2.57,0.0
3658,2.72,1.32,0.0,2.88,1.77,0.0
3659,1.37,4.47,0.0,0.0,0.23,0.0
3660,-8.2,2.34,0.0,-6.99,-8.29,0.0
3661,0.0,0.0,0.0,0.0,0.0,0.0
3662,2.02,1.23,0.0,1.71,1.14,0.0
3663,-0.01,1.01,0.0,1.09,0.74,0.0
3664,-1.1,1.45,0.0,0.86,0.77,0.0
3665,-1.02,1.46,0.0,0.91,0.79,0.0
3666,1.41,1.75,0.0,1.44,0.85,0.0
3667,2.02,0.86,0.0,1.76,0.9,0.0
3668,2.48,3.48,0.0,2.55,1.42,0.0
3669,-9.49,-9.33,0.0,-7.32,-8.74,0.0
3670,1.46,1.5,0.0,3.78,2.18,0.0
3671,0.0,0.0,0.0,0.0,0.0,0.0
3672,0.97,0.97,0.0,1.1,0.59,0.0
3673,0.42,-0.51,0.0,0.12,-1.01,0.0
3674,1.07,0.92,0.0,1.45,0.84,0.0
3675,1.18,0.97,0.0,1.54,0.9,0.0
3676,2.07,1.52,0.0,3.39,2.0,0.0
3677,2.42,1.56,0.0,3.63,2.11,0.0
3678,-1.0,1.24,0.0,0.74,0.46,0.0
3679,-0.83,1.27,0.0,0.87,0.53,0.0
3680,0.13,0.46,0.0,1.13,0.35,0.0
3681,0.53,0.51,0.0,1.37,0.47,0.0
3682,15.96,0.34,0.0,0.51,0.42,0.0
3683,19.99,0.37,0.0,0.69,0.51,0.0
3684,-0.88,1.06,0.0,0.96,0.6,0.0
3685,0.0,0.0,0.0,0.0,0.0,0.0
3686,0.17,1.25,0.0,0.87,0.38,0.0
3687,0.48,1.29,0.0,1.1,0.5,0.0
3688,0.0,0.0,0.0,0.0,0.0,0.0
3689,8.43,7.75,0.0,8.05,3.61,0.0
3690,8.49,7.8,0.0,8.09,3.6,0.0
3691,-1.64,1.07,0.0,0.82,0.59,0.0
3692,1.06,0.58,0.0,1.41,0.88,0.0
3693,0.04,0.76,0.0,0.82,0.59,0.0
3694,-0.86,0.68,0.0,1.41,0.75,0.0
3695,-0.77,0.7,0.0,1.47,0.79,0.0
3696,1.14,1.14,0.0,0.73,0.46,0.0
3697,1.43,1.18,0.0,0.91,0.54,0.0
3698,0.0,0.0,0.0,0.0,0.0,0.0
3699,0.0,0.0,0.0,0.0,0.0,0.0
3700,2.06,1.82,0.0,1.72,0.58,0.0
3701,2.22,1.84,0.0,1.82,0.62,0.0
3702,13.59,12.03,0.0,13.18,12.39,0.0
3703,3.5,1.34,0.0,3.84,3.0,0.0
3704,3.68,1.37,0.0,4.01,3.07,0.0
3705,0.0,0.0,0.0,0.0,0.0,0.0
